Meas_number,date_time,time_datum,measurment_used,who,measuring_agency,stream_flow_cfs,stream_flow_cms,gage_height_ft,gage_height_m,gh_change_ft,meas_duration_hr,meas_rating,control,flow_adjust_code,channel_number,channel_name,meas_type,stream_flow_method,velocity_method,channel_flow_cfs,channel_flow_m3s,channel_width_ft,channel_width_m,channel_area_sqft,channel_area_m2,channel_vel_fts,channel_velocity_ms,channel_stability,channel_material,channel_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,channel_loc_code,channel_loc_dist_ft
595,10/23/2023 15:43,CDT,Yes,CR,Unspe,92.2,,0.7,0.213349589,,,Poor,Clear,NONE,1,Main,BRDS,QADCP,VADCP,92.2,2.610788617,121,36.8790003,172,15.97918989,0.54,0.164583968,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
594,8/2/2023 17:19,CDT,Yes,"CR,RD",Unspe,348,9.8542464,1.6,0.487656202,,,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,348,9.854169616,131,39.92685157,306,28.42809365,1.14,0.347455044,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
593,7/6/2023 10:10,CDT,Yes,ra/cr/jc,USGS,126,3.5679168,0.92,0.280402316,0,,Fair,DebrisLight,NONE,1,main,WADE,QADCP,VADCP,126,3.567888999,103,31.39286803,172,15.97918989,0.73,0.222493142,FIRM,GRVL,EVEN,STDY,EVEN,STND,ATGA,0
592,6/15/2023 11:31,CDT,Yes,CR,Unspe,231,6.5411808,1.46,0.444986285,,,Fair,Clear,NONE,1,Main,WADE,QADCP,VADCP,231,6.541129832,104,31.69765315,209,19.41657376,1.1,0.335263639,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,DNST,300
591,4/6/2023 7:21,CDT,Yes,ESS,USGS,2790,79.003872,5.18,1.578786955,,,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,2790,79.00325641,193,58.82352941,926,86.02749907,3.02,0.920451082,FIRM,GRVL,EVEN,STDY,EVEN,STND,DNST,200
590,3/25/2023 11:24,CDT,Yes,CR,Unspe,53100,1503.62208,26.1,7.954891801,,,Poor,DebrisLight,NONE,2,Main Channel,BRDS,QADCP,VADCP,48500,1373.354099,597,181.9567205,10000,929.0226682,4.85,1.478207863,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,DNST,500
590,3/25/2023 11:24,CDT,Yes,CR,Unspe,53100,1503.62208,26.1,7.954891801,,,Poor,DebrisLight,NONE,1,Right Overflow Channel,BRDS,QADCP,VADCP,4560,129.1236019,100,30.47851265,842,78.22370866,5.41,1.648887534,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,DNST,500
589,3/3/2023 16:21,CST,Yes,JJC,USGS,17100,484.21728,14.97,4.562633343,,,Good,DebrisModerate,NONE,1,MAIN,CWAY,QADCP,VADCP,17100,484.213507,451,137.458092,3940,366.0349313,4.34,1.322767449,FIRM,GRVL,UNEV,STDY,UNEV,STND,ATGA,0
588,2/6/2023 13:14,CST,Yes,CR,Unspe,667,18.8873056,2.29,0.69795794,,,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,667,18.88715843,144,43.88905821,410,38.08992939,1.62,0.493751905,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,DNST,1000
587,12/5/2022 9:52,CST,Yes,MJT,USGS,403,11.4116704,1.89,0.576043889,,,Poor,Clear,NONE,1,mc,BRDS,QADCP,VADCP,403,11.41158148,117,35.6598598,298,27.68487551,1.35,0.411459921,FIRM,GRVL,UNEV,STDY,UNEV,NSTD,DNST,800
