Meas_number,date_time,time_datum,measurment_used,who,measuring_agency,stream_flow_cfs,gage_height_ft,gh_change_ft,meas_duration_hr,meas_rating,control,flow_adjust_code,channel_number,channel_name,meas_type,stream_flow_method,velocity_method,channel_flow_cfs,channel_flow_m3s,channel_width_ft,channel_width_m,channel_area_sqft,channel_area_m2,channel_vel_fts,channel_vel_ms,channel_stability,channel_material,channel_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,channel_loc_code,channel_loc_dist_ft
745,10/11/2023 14:25,CDT,Yes,JC,USGS,596,2.19,,,Good,DebrisLight,NONE,1,MAIN,BRDS,QADCP,VADCP,596,16.8766813,341,103.9317281,2460,228.5395764,0.24,0.07314843,FIRM,GRVL,UNEV,STDY,UNEV,STND,ATGA,0
744,8/3/2023 15:43,CDT,Yes,JJC,USGS,3910,5.08,,,Poor,Clear,NONE,1,MAIN,BRDS,QADCP,VADCP,3910,110.7178253,352,107.2843645,3450,320.5128205,1.14,0.347455044,FIRM,GRVL,UNEV,STDY,UNEV,STND,ATGA,0
743,6/12/2023 13:16,CDT,Yes,JJC,USGS,1240,2.95,,,Poor,Clear,NONE,1,MAIN,BRDS,QADCP,VADCP,1240,35.1125584,339,103.3221579,3710,344.6674099,0.33,0.100579092,SOFT,GRVL,UNEV,STDY,UNEV,STND,ATGA,0
742,4/6/2023 16:10,CDT,Yes,JJC,USGS,4970,5.63,,,Fair,Clear,NONE,1,MAIN,BRDS,QADCP,VADCP,4970,140.7333994,346,105.4556538,3550,329.8030472,1.4,0.426699177,FIRM,GRVL,UNEV,STDY,UNSP,STND,ATGA,0
741,2/10/2023 11:20,CST,Yes,JJC,USGS,4690,5.37,,,Good,Clear,NONE,1,MAIN,BRDS,QADCP,VADCP,4690,132.8047572,349,106.3700091,3650,339.0932739,1.29,0.393172813,FIRM,GRVL,UNEV,STDY,UNEV,STND,ATGA,0
740,12/1/2022 13:43,CST,Yes,CR,Unspe,1960,3.38,,,Good,Clear,NONE,1,Main,BRDS,QADCP,VADCP,1960,55.50049554,352,107.2843645,3060,284.2809365,0.64,0.195062481,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
739,10/13/2022 16:34,CDT,Yes,CR,Unspe,641,2.13,,,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,641,18.15092737,347,105.7604389,2660,247.1200297,0.24,0.07314843,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
738,9/8/2022 10:05,CDT,Yes,CR/ESS,USGS,1510,3.04,,,Good,Clear,NONE,1,Main,BRDS,QADCP,VADCP,1510,42.75803483,328,99.96952149,2810,261.0553698,0.54,0.164583968,FIRM,GRVL,EVEN,STDY,EVEN,STND,ATGA,0
737,6/23/2022 9:49,CDT,Yes,ESS/TH,USGS,1560,3.04,,,Good,Clear,NONE,1,Main,MBOT,QADCP,VADCP,1560,44.1738638,299,91.13075282,913,84.8197696,1.71,0.521182566,FIRM,GRVL,EVEN,STDY,UNSP,STND,DNST,700
736,4/14/2022 11:54,CDT,Yes,"MT,SS",USGS,21000,12.82,,,Good,,NONE,1,Main,MBOT,QADCP,VADCP,21000,594.6481665,369,112.4657117,4070,378.1122259,5.16,1.572691253,FIRM,GRVL,EVEN,PULS,EVEN,STND,DNST,2000
735,1/27/2022 9:43,CST,Yes,CR,Unspe,1770,3.35,,,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,1770,50.12034546,345,105.1508686,3150,292.6421405,0.56,0.170679671,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
734,12/2/2021 8:37,CST,Yes,CR,Unspe,888,2.53,,,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,888,25.14512247,335,102.1030174,2900,269.4165738,0.31,0.094483389,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
733,10/7/2021 10:32,CDT,Yes,CR,Unspe,835,2.44,,,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,835,23.64434376,328,99.96952149,2800,260.1263471,0.3,0.091435538,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
732,8/5/2021 8:22,CDT,Yes,CR,Unspe,1080,2.76,,,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,1080,30.58190571,323,98.44559585,2870,266.6295058,0.38,0.115818348,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
731,6/10/2021 8:37,CDT,Yes,CR,Unspe,2910,4.42,,,Poor,Clear,NONE,1,Main,BRDS,QADCP,VADCP,2910,82.40124593,335,102.1030174,3440,319.5837978,0.85,0.259067358,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
730,3/31/2021 18:34,CDT,Yes,CR,Unspe,6170,6.19,,,Poor,Clear,NONE,1,Main,BRDS,QADCP,VADCP,6170,174.7132946,357,108.8082902,4140,384.6153846,1.49,0.454129838,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
