"","meshid","cSize","thick_mm"
"1","30_clean",3235.44018068679,2.8361006975174
"2","32",2231.33585740983,1.66200083494186
"3","34",1744.21586929741,1.15317809581757
"4","38_clean",2279.73597607672,4.68658256530762
"5","40",2610.63609589055,5.15380716323853
"6","41",2252.77241558915,4.8697681427002
"7","45_clean",2215.42234191363,4.91505002975464
"8","46_clean",2043.23619684876,4.57707977294922
"9","52",1883.50381127016,3.98075938224792
"10","54",2090.67992098244,3.98101913928986
"11","55",2014.33612831683,4.89411783218384
"12","58_clean",1985.32382292898,3.68866312503815
"13","63",2264.22289235967,4.65889883041382
"14","65_clean",1762.44242778427,4.15432953834534
"15","66",1920.97076154789,3.99081838130951
"16","558",1726.93420117619,3.41698682308197
"17","564",1815.33605546583,3.32182264328003
"18","569",2110.22102571553,4.75213217735291
"19","572",2003.01727061408,2.5370272397995
"20","623_SmallRiverA_LV_downsize_50p",1885.90308876097,1.66054260730743
"21","624_SmallRiverC",1654.51509958121,1.69672822952271
"22","625_SmallRiverB",1794.28147388693,2.15606546401978
"23","627_BigRiverC",1845.2932798073,3.77040100097656
"24","629_BigRiverB",2090.03367161474,4.62327551841736
"25","632_BigRiverA",2409.46149326987,4.4421501159668
"26","IZ-00027",1704.35534332335,1.41381657123566
"27","IZ-00028",1713.67026826216,1.43849098682404
"28","IZ-00029",1639.02900843535,1.67214381694794
"29","IZ-00030",1517.35602569724,1.67723000049591
"30","IZ-00031",1385.25998468645,1.08684641122818
"31","84624",1966.38878623765,4.22204208374023
"32","677051",2264.67358150527,4.70984697341919
"33","308880_downsize_75p",2463.74597335089,3.92604732513428
"34","521287.1_downsize_75p_clean",2822.09553744774,1.99617063999176
"35","521287.2_clean",1819.26043903722,1.24526059627533
"36","540083.1_downsize_50p_clean",2574.9354214748,3.79990196228027
"37","540083.2_downsize_50p_clean",2484.17833921121,3.51018929481506
"38","540308.1_downsize_50p_clean",2162.73894747651,3.29787647724152
"39","540308_2",1915.46557432044,3.31395637989044
"40","591485_downsize_50p_clean",2695.71241141165,2.08806991577148
"41","USNM676995",2163.6182917705,2.66891753673553
"42","677051.2_downsize",2285.9038601977,4.60903716087341
"43","677526_downsize_50p",2180.35321617276,2.4991180896759
"44","745443_downsize_50p",2541.5985203677,2.76990818977356
"45","746063_downsize_75p",2357.61041573953,4.83096599578857
"46","755324_LV_downsize_50p",2015.00933774295,4.52571249008179
"47","755840_clean",2198.54663027273,4.77568435668945
"48","755915_downsize_50p",1897.03484481995,4.74393177032471
"49","84627",1978.73661430378,2.609046459198
"50","894763_clean",1972.45211446879,4.40872240066528
"51","513685_1",1869.43323924333,1.16632032394409
"52","513685_2",1852.01759132232,1.09637463092804
